state,sa4Name,lgaName,nationalRemoteness,nationalRoadType,locationID
NSW,Riverina,Wagga Wagga,Inner Regional Australia,Arterial Road,NSW_Wagga_Wagga_Riverina
NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Local Road,NSW_Hawkesbury_Sydney___Baulkham_Hills_and_Hawkesbury
TAS,Launceston and North East,Northern Midlands,Inner Regional Australia,Local Road,TAS_Northern_Midlands_Launceston_and_North_East
NSW,New England and North West,Armidale,Outer Regional Australia,National or State Highway,NSW_Armidale_New_England_and_North_West
QLD,Toowoomba,Lockyer Valley,Inner Regional Australia,National or State Highway,QLD_Lockyer_Valley_Toowoomba
SA,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Sub-arterial Road,SA_Wakefield_Barossa___Yorke___Mid_North
QLD,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Local Road,QLD_Southern_Downs_Darling_Downs___Maranoa
TAS,Hobart,Brighton,Inner Regional Australia,Local Road,TAS_Brighton_Hobart
TAS,Launceston and North East,West Tamar,Outer Regional Australia,National or State Highway,TAS_West_Tamar_Launceston_and_North_East
SA,South Australia - South East,Mid Murray,Outer Regional Australia,Local Road,SA_Mid_Murray_South_Australia___South_East
NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway,NSW_Blue_Mountains_Sydney___Outer_West_and_Blue_Mountains
NSW,Capital Region,Upper Lachlan,Inner Regional Australia,National or State Highway,NSW_Upper_Lachlan_Capital_Region
SA,South Australia - South East,Wattle Range,Outer Regional Australia,Local Road,SA_Wattle_Range_South_Australia___South_East
QLD,Cairns,Cairns,Outer Regional Australia,Collector Road,QLD_Cairns_Cairns
NSW,Illawarra,Wollongong,Major Cities of Australia,National or State Highway,NSW_Wollongong_Illawarra
NSW,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road,NSW_Penrith_Sydney___Outer_West_and_Blue_Mountains
NSW,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,National or State Highway,NSW_Upper_Hunter_Hunter_Valley_exc_Newcastle
QLD,Wide Bay,South Burnett,Outer Regional Australia,National or State Highway,QLD_South_Burnett_Wide_Bay
NSW,Central West,Mid-Western,Outer Regional Australia,Arterial Road,NSW_Mid_Western_Central_West
NSW,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Collector Road,NSW_Canterbury_Bankstown_Sydney___Inner_South_West
NSW,Murray,Greater Hume,Outer Regional Australia,National or State Highway,NSW_Greater_Hume_Murray
SA,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road,SA_Barossa_Barossa___Yorke___Mid_North
NSW,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,National or State Highway,NSW_Port_Macquarie_Hastings_Mid_North_Coast
QLD,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway,QLD_Mackay_Mackay___Isaac___Whitsunday
QLD,Cairns,Douglas,Outer Regional Australia,Local Road,QLD_Douglas_Cairns
